Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Return_1D,Return_5D,Return_10D,SMA_5,SMA_20,Volatility_5D,Volatility_20D,Daily_Range,Volume_Change,Next_Close,Direction
2014-07-07,RELIANCE,EQ,1031.95,1033.0,1037.0,1021.0,1025.5,1027.2,1026.93,3204529,329084289105000.0,76756.0,2046355.0,0.6386000000000001,-0.004602936188768836,0.011621036044908495,-0.010356953610482167,1018.3800000000001,1048.8700000000001,0.015176507295380746,0.015686970906721137,0.01557632398753894,0.08196087554135545,995.05,0
2014-07-08,RELIANCE,EQ,1027.2,1026.0,1034.5,990.0,994.0,995.05,1010.86,3996724,404010959570000.0,100532.0,2061070.0,0.5157,-0.03129867601246117,-0.012847222222222232,-0.061140727461433175,1015.7900000000002,1042.7075,0.021494074391398298,0.016805105661422674,0.04472137078538767,0.24721105660145382,1000.95,1
2014-07-09,RELIANCE,EQ,995.05,1002.0,1009.9,992.5,1000.0,1000.95,1001.21,3406611,341074846985000.0,131362.0,1804317.0,0.5297,0.00592935028390551,-0.01698993370979618,-0.04762131303520456,1012.3300000000002,1037.65,0.020951230321180462,0.016862431790725753,0.01738348568859581,-0.14764917467405803,997.2,0
2014-07-10,RELIANCE,EQ,1000.95,1000.25,1021.5,981.05,991.0,997.2,1000.52,4251670,425387109990000.0,110559.0,1623235.0,0.3818,-0.003746440881162938,-0.009239940387481327,-0.01452712718648086,1010.47,1032.8025000000002,0.02046416144961843,0.01685268446780538,0.04056357801845171,0.24806442531888728,966.5,0
2014-07-11,RELIANCE,EQ,997.2,995.2,1002.0,963.65,966.0,966.5,978.43,4065087,397741459815000.0,107511.0,2319663.0,0.5706,-0.03078620136381871,-0.06342361548524644,-0.04505483647860886,997.3799999999999,1027.0325,0.017070448280376842,0.01780518570374205,0.03967925504397312,-0.04388463827154976,961.75,0
2014-07-14,RELIANCE,EQ,966.5,968.6,974.9,958.5,963.6,961.75,967.72,3146395,304484366465000.0,92736.0,1931585.0,0.6139,-0.004914640455250918,-0.06371690031152655,-0.0528363206618081,984.2900000000002,1021.8474999999999,0.017033096267077236,0.01765721151563978,0.017052248505328806,-0.2259956551975394,972.2,1
2014-07-15,RELIANCE,EQ,961.75,963.4,980.0,963.05,973.4,972.2,971.55,3507637,340782968710000.0,113219.0,1948512.0,0.5555,0.01086560956589544,-0.022963670167328143,-0.035515873015873,979.72,1015.9549999999999,0.01609792552176899,0.016827391049776857,0.017434684221353677,0.11481139526346817,989.7,1
2014-07-16,RELIANCE,EQ,972.2,974.0,993.0,974.0,989.4,989.7,985.46,3190489,314411201720000.0,106097.0,1715427.0,0.5377000000000001,0.018000411437975705,-0.011239322643488703,-0.028038301006628963,977.47,1012.1025,0.018746088711058522,0.017180497477012353,0.019197736687885218,-0.090416425644957,982.5,0
2014-07-17,RELIANCE,EQ,989.7,988.0,998.2,980.3,980.5,982.5,985.85,2154828,212433296365000.0,61278.0,1256013.0,0.5829,-0.007274931797514483,-0.014741275571600543,-0.023845007451564815,974.53,1009.1225000000001,0.018888672381171517,0.016588920353461035,0.018218829516539532,-0.3246088608987525,976.75,0
2014-07-18,RELIANCE,EQ,982.5,980.0,983.55,969.3,975.2,976.75,977.51,2133298,208531860405000.0,51879.0,966854.0,0.4532,-0.005852417302798951,0.010605276771857186,-0.05349096370948214,976.5799999999999,1006.135,0.011510576262345001,0.016593160624270825,0.014589198873816227,-0.00999151672430465,997.65,1
